Date,Open,High,Low,Close,Adj Close,Volume
2021-12-14,3.030000,3.080000,2.830000,2.910000,2.910000,12315700
2021-12-15,2.970000,3.090000,2.760000,3.030000,3.030000,10611900
2021-12-16,3.020000,3.130000,2.860000,2.900000,2.900000,8585000
2021-12-17,2.870000,2.970000,2.730000,2.890000,2.890000,25466100
2021-12-20,2.780000,2.780000,2.550000,2.640000,2.640000,8930100
2021-12-21,2.670000,2.800000,2.660000,2.710000,2.710000,7105500
2021-12-22,2.700000,2.720000,2.610000,2.700000,2.700000,5998700
2021-12-23,2.680000,2.850000,2.550000,2.810000,2.810000,7105200
2021-12-27,2.800000,2.800000,2.670000,2.700000,2.700000,5053100
2021-12-28,2.690000,2.700000,2.520000,2.580000,2.580000,6127600
2021-12-29,2.560000,2.580000,2.440000,2.470000,2.470000,7322700
2021-12-30,2.490000,2.740000,2.430000,2.640000,2.640000,6707300
2021-12-31,2.620000,2.640000,2.440000,2.460000,2.460000,8272900
2022-01-03,2.500000,2.950000,2.500000,2.830000,2.830000,9350600
2022-01-04,2.850000,2.870000,2.660000,2.770000,2.770000,5167100
2022-01-05,2.780000,2.870000,2.540000,2.560000,2.560000,5412500
2022-01-06,2.600000,2.640000,2.440000,2.450000,2.450000,5119900
2022-01-07,2.440000,2.540000,2.370000,2.430000,2.430000,4264000
2022-01-10,2.360000,2.360000,2.190000,2.280000,2.280000,6110400
2022-01-11,2.260000,2.380000,2.220000,2.300000,2.300000,4453800
2022-01-12,2.340000,2.370000,2.250000,2.280000,2.280000,2755400
2022-01-13,2.280000,2.330000,2.130000,2.130000,2.130000,4300100
2022-01-14,2.140000,2.170000,2.040000,2.140000,2.140000,5435700
2022-01-18,2.130000,2.190000,2.040000,2.050000,2.050000,4916300
2022-01-19,2.090000,2.130000,2.020000,2.030000,2.030000,5068100
2022-01-20,2.070000,2.110000,1.890000,1.890000,1.890000,7268500
2022-01-21,1.890000,1.900000,1.720000,1.730000,1.730000,9637000
2022-01-24,1.620000,1.820000,1.550000,1.800000,1.800000,9542000
2022-01-25,1.690000,1.740000,1.650000,1.670000,1.670000,4335200
2022-01-26,1.730000,1.750000,1.570000,1.580000,1.580000,7418400
2022-01-27,1.610000,1.630000,1.420000,1.450000,1.450000,7575000
2022-01-28,1.450000,1.490000,1.380000,1.490000,1.490000,4579300
2022-01-31,1.490000,1.730000,1.470000,1.670000,1.670000,5836800
2022-02-01,1.700000,1.910000,1.690000,1.870000,1.870000,7015500
2022-02-02,1.970000,1.970000,1.700000,1.740000,1.740000,6241100
2022-02-03,1.690000,1.730000,1.600000,1.620000,1.620000,3882700
2022-02-04,1.650000,1.710000,1.580000,1.690000,1.690000,3441300
2022-02-07,1.690000,1.770000,1.640000,1.650000,1.650000,3423400
2022-02-08,1.690000,1.690000,1.580000,1.640000,1.640000,3125600
2022-02-09,1.660000,1.890000,1.660000,1.880000,1.880000,7017800
2022-02-10,1.810000,2.030000,1.780000,1.860000,1.860000,6409500
2022-02-11,1.870000,1.950000,1.740000,1.780000,1.780000,4454300
2022-02-14,1.790000,1.850000,1.730000,1.790000,1.790000,4576000
2022-02-15,1.830000,1.980000,1.820000,1.970000,1.970000,5073300
2022-02-16,1.950000,2.010000,1.890000,1.950000,1.950000,5079500
2022-02-17,1.920000,1.970000,1.780000,1.790000,1.790000,4778700
